"","start","end","distance"
"1","0E9","19K",134
"2","00KS","19K",16
"3","00MO","19K",94
"4","01K","19K",176
"5","01KS","19K",114
"6","02KS","19K",74
"7","02MO","19K",167
"8","03B","19K",135
"9","03D","19K",149
"10","03MO","19K",87
"11","04MO","19K",150
"12","05KS","19K",111
"13","06IS","19K",187
"14","06MO","19K",30
"15","06SN","19K",145
"16","07KS","19K",127
"17","07MO","19K",46
"18","08K","19K",197
"19","08KS","19K",141
"20","08MO","19K",83
"21","09KS","19K",26
"22","09MO","19K",101
"23","0C1","19K",44
"24","0D6","19K",151
"25","0G3","19K",122
"26","0H7","19K",166
"27","0KS0","19K",63
"28","0KS1","19K",44
"29","0KS2","19K",36
"30","0KS3","19K",39
"31","0KS4","19K",48
"32","0KS6","19K",151
"33","0KS7","19K",169
"34","0KS8","19K",91
"35","0KS9","19K",133
"36","0L8","19K",19
"37","0MO0","19K",41
"38","0MO1","19K",27
"39","0MO2","19K",189
"40","0MO3","19K",20
"41","0MO5","19K",142
"42","0MO6","19K",135
"43","0MO8","19K",182
"44","0MU0","19K",189
"45","0MU1","19K",93
"46","0MU4","19K",95
"47","0MU7","19K",22
"48","0N0","19K",32
"49","0NE6","19K",190
"50","0R2","19K",63
"51","10MO","19K",135
"52","11KS","19K",34
"53","11MO","19K",139
"54","12K","19K",179
"55","12KS","19K",146
"56","12MO","19K",48
"57","13IS","19K",189
"58","13K","19K",97
"59","13KS","19K",135
"60","13MO","19K",151
"61","14KS","19K",33
"62","14MO","19K",21
"63","15KS","19K",73
"64","15MO","19K",135
"65","16MO","19K",163
"66","16NE","19K",139
"67","17KS","19K",54
"68","17MO","19K",144
"69","18KS","19K",146
"70","18MO","19K",127
"71","18NE","19K",175
"72","19K","19T",95
"73","19K","1H3",132
"74","19K","1H5",164
"75","19K","1K1",133
"76","19K","1K3",145
"77","19K","1K7",93
"78","19K","1KS0",163
"79","19K","1KS1",35
"80","19K","1KS2",40
"81","19K","1KS3",106
"82","19K","1KS5",74
"83","19K","1KS6",138
"84","19K","1KS9",24
"85","19K","1LL3",177
"86","19K","1MO",146
"87","19K","1MO2",14
"88","19K","1MO3",74
"89","19K","1MO4",75
"90","19K","1MO6",217
"91","19K","1MO7",154
"92","19K","1MO8",90
"93","19K","1MO9",85
"94","19K","1MU0",108
"95","19K","1MU2",41
"96","19K","1MU4",39
"97","19K","1MU6",83
"98","19K","1MU8",51
"99","19K","1Y3",117
"100","19K","20KS",127
"101","19K","20MO",38
"102","19K","21MO",48
"103","19K","21NE",166
"104","19K","22IS",201
"105","19K","22MO",139
"106","19K","22NE",175
"107","19K","23IS",198
"108","19K","23KS",25
"109","19K","23MO",33
"110","19K","24KS",162
"111","19K","24MO",91
"112","19K","25MO",95
"113","19K","27MO",96
"114","19K","28KS",30
"115","19K","28MO",60
"116","19K","29KS",115
"117","19K","29MO",35
"118","19K","2H2",116
"119","19K","2IL4",189
"120","19K","2IL6",187
"121","19K","2K2",121
"122","19K","2K6",115
"123","19K","2K7",94
"124","19K","2K8",175
"125","19K","2KS0",117
"126","19K","2KS1",68
"127","19K","2KS2",104
"128","19K","2KS3",183
"129","19K","2KS4",190
"130","19K","2KS8",180
"131","19K","2KS9",47
"132","19K","2M1",28
"133","19K","2M5",77
"134","19K","2MO",107
"135","19K","2MO0",34
"136","19K","2MO1",103
"137","19K","2MO2",44
"138","19K","2MO4",44
"139","19K","2MO5",140
"140","19K","2MO6",134
"141","19K","2MO7",164
"142","19K","2MO8",98
"143","19K","2MO9",13
"144","19K","30KS",153
"145","19K","30MO",120
"146","19K","31KS",164
"147","19K","31MO",81
"148","19K","32IS",185
"149","19K","33KS",53
"150","19K","33MO",94
"151","19K","35KS",149
"152","19K","36KS",85
"153","19K","36MO",149
"154","19K","37KS",113
"155","19K","37MO",52
"156","19K","37NE",136
"157","19K","38IS",185
"158","19K","38K",185
"159","19K","38KS",140
"160","19K","38MO",177
"161","19K","38NE",192
"162","19K","39K",52
"163","19K","39KS",34
"164","19K","39MO",119
"165","19K","3AU",135
"166","19K","3DW",112
"167","19K","3EX",39
"168","19K","3GN",128
"169","19K","3GV",23
"170","19K","3IP",21
"171","19K","3IS2",216
"172","19K","3JC",107
"173","19K","3K5",167
"174","19K","3KS1",59
"175","19K","3KS3",148
"176","19K","3KS5",142
"177","19K","3KS7",142
"178","19K","3KS8",97
"179","19K","3MO",62
"180","19K","3MO2",153
"181","19K","3MO5",100
"182","19K","3MO6",34
"183","19K","3MO7",79
"184","19K","3MO8",76
"185","19K","3OL8",116
"186","19K","3VS",83
"187","19K","40KS",43
"188","19K","40MO",41
"189","19K","41MO",99
"190","19K","42KS",178
"191","19K","43K",116
"192","19K","43KS",88
"193","19K","43MO",10
"194","19K","44IS",174
"195","19K","44KS",140
"196","19K","44MO",57
"197","19K","45K",148
"198","19K","45KS",120
"199","19K","45MO",185
"200","19K","45OK",121
"201","19K","46KS",143
"202","19K","46MO",186
"203","19K","47K",141
"204","19K","47KS",32
"205","19K","47MO",65
"206","19K","48KS",133
"207","19K","49K",173
"208","19K","49KS",101
"209","19K","4H8",173
"210","19K","4K3",41
"211","19K","4K6",154
"212","19K","4K8",162
"213","19K","4KS1",21
"214","19K","4KS2",23
"215","19K","4KS6",70
"216","19K","4KS7",138
"217","19K","4LL5",166
"218","19K","4MO",149
"219","19K","4MO0",25
"220","19K","4MO1",18
"221","19K","4MO2",146
"222","19K","4MO3",122
"223","19K","4MO4",29
"224","19K","4MO5",89
"225","19K","4MO6",167
"226","19K","4MO7",88
"227","19K","4MO8",30
"228","19K","4MO9",24
"229","19K","4O5",215
"230","19K","50K",110
"231","19K","51IS",189
"232","19K","51K",17
"233","19K","51KS",124
"234","19K","52K",86
"235","19K","52KS",27
"236","19K","53K",58
"237","19K","53KS",140
"238","19K","54KS",25
"239","19K","54MO",132
"240","19K","55K",149
"241","19K","55MO",156
"242","19K","56M",64
"243","19K","56MO",112
"244","19K","57K",39
"245","19K","58KS",147
"246","19K","59KS",30
"247","19K","5IS9",189
"248","19K","5K4",203
"249","19K","5KS1",39
"250","19K","5KS3",185
"251","19K","5LL6",184
"252","19K","5MO",50
"253","19K","5MO1",110
"254","19K","5MO3",113
"255","19K","5MO6",42
"256","19K","5MO9",108
"257","19K","5NE2",98
"258","19K","60KS",137
"259","19K","61K",123
"260","19K","61KS",64
"261","19K","61MO",125
"262","19K","62K",96
"263","19K","62MO",25
"264","19K","63K",3
"265","19K","63KS",120
"266","19K","63M",145
"267","19K","64MO",57
"268","19K","66KS",114
"269","19K","66MO",171
"270","19K","67MO",81
"271","19K","68KS",15
"272","19K","69IS",187
"273","19K","69K",82
"274","19K","69KS",9
"275","19K","69MO",105
"276","19K","6K1",96
"277","19K","6K2",134
"278","19K","6K9",170
"279","19K","6KS5",33
"280","19K","6KS6",213
"281","19K","6KS7",197
"282","19K","6KS8",77
"283","19K","6M6",158
"284","19K","6MO0",177
"285","19K","6MO1",75
"286","19K","6MO3",144
"287","19K","6MO4",58
"288","19K","6MO6",147
"289","19K","6MO7",124
"290","19K","6MO8",125
"291","19K","6MO9",7
"292","19K","6OK6",175
"293","19K","70K",147
"294","19K","70MO",95
"295","19K","70OK",117
"296","19K","71K",148
"297","19K","71KS",39
"298","19K","71MO",64
"299","19K","72K",148
"300","19K","72KS",33
"301","19K","73MU",123
"302","19K","74KS",58
"303","19K","74MU",163
"304","19K","75K",94
"305","19K","75U",64
"306","19K","76MO",114
"307","19K","77KS",137
"308","19K","77MO",108
"309","19K","77Y",104
"310","19K","78KS",105
"311","19K","78MO",154
"312","19K","78MU",90
"313","19K","78Y",95
"314","19K","79MU",34
"315","19K","7K6",189
"316","19K","7KS0",46
"317","19K","7KS2",42
"318","19K","7KS3",74
"319","19K","7KS4",65
"320","19K","7KS5",68
"321","19K","7KS6",12
"322","19K","7KS9",149
"323","19K","7L7",89
"324","19K","7MO",109
"325","19K","7MO1",141
"326","19K","7MO2",148
"327","19K","7MO4",41
"328","19K","7MO5",36
"329","19K","7MO6",43
"330","19K","7MO7",49
"331","19K","7MO8",46
"332","19K","7MO9",137
"333","19K","7NE0",154
"334","19K","7V7",200
"335","19K","80MO",101
"336","19K","80NE",177
"337","19K","83KS",85
"338","19K","83MU",121
